GPA,salary
4.62,5247.290177926713
3.84,3436.752499932644
4.26,4452.452284661676
3.62,3200.222860894556
3.6,3408.4279526226646
3.48,3190.1100346059
3.05,3017.2774966932384
4.52,5288.263273072054
2.76,3369.337909399515
2.5,3135.459523038979
2.93,3431.930541476756
3.26,3254.0248142261025
4.34,4985.031121086986
3.33,3008.8892178130945
4.77,5334.002584552136
2.59,3168.8462247171083
4.42,5090.186085306516
4.43,5004.219550142782
2.81,3658.585655408185
3.28,3090.1352912869934
3.88,3696.73465379718
4.72,5203.671983713399
3.15,3136.1590265242094
3.56,3369.82599385665
4.25,4955.4494550745385
2.86,3181.995111810156
3.5,3224.5208263641566
4.9,5145.245714491414
2.73,3076.0460836166794
4.31,4828.249819170474
2.78,2993.411316881681
3.69,3452.6384464664748
4.64,5392.146374193269
3.2,3404.2490432559457
4.87,5136.025956519628
2.61,3227.292556818518
4.17,4524.826104860439
4.16,4346.357787925517
3.38,3098.126193897761
2.9,3377.5770513457205
3.74,3378.5263708683083
3.35,3039.7698796267778
2.66,3397.905156549602
4.89,5074.469350813677
3.18,3147.556958296052
2.99,3218.856998763054
4.55,5224.761211678064
3.13,3337.5397743691783
4.06,4393.65594923708
2.84,3141.452615569055
3.1,3120.1176384502096
2.58,3290.863408371501
2.93,3145.5440197006583
3.45,2982.212135860796
2.72,3331.6030161316908
4.44,5019.598137554019
2.65,2975.309128269907
4.12,4726.899133671194
3.4,3439.4888122492375
4.76,5320.214452226034
3.92,3897.6274564608025
5.0,4474.869179154467
3.88,3814.1000308569296
3.59,3292.022227372682
3.77,3620.2628653127786
4.19,4760.640617910744
3.65,3623.731683624787
4.23,4832.098023974196
4.04,3826.3998306711596
4.97,4834.332037984666
4.49,4786.92973057195
3.53,3227.257499910069
3.98,3763.8940450321306
3.71,3506.2349398453202
4.97,4965.001799820698
3.94,3710.648640230022
4.38,4694.884038650126
3.3,3075.379000646901
4.88,5043.508524962891
3.98,4028.9733516396927
4.09,4070.2768825099056
4.64,5352.324667355333
3.45,3136.536835862483
3.25,3495.281349254548
2.52,2950.379350091667
3.8,3430.4260373259813
3.04,3229.80239137655
2.54,2947.07595940581
3.08,3281.6480501054793
4.7,5666.044178090133
4.8,5084.970963200966
4.36,4898.8773815968925
4.68,5013.121368766453
4.57,5491.769382924459
2.99,3324.321741980298
4.03,4066.0720313268284
4.31,4623.970403430283
2.85,3547.326663111099
4.83,5443.584795032257
3.79,3684.415093114827
